NO,식품명,1회제공량,에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
6901,시금치나물무침,50,34.28,1.68,1.87,2.23,0.2,0.05,0.99,43.06,0.64,33.3,68.12,0
6902,시래기나물무침,50,56.84,3.87,2.16,3.64,0.45,0.27,3.37,93.15,1.86,10.06,257.08,0
6903,씀바귀나물무침,90,87.63,14.91,3.48,1.56,0.32,1.15,4.67,41.19,1.28,34.26,183.66,0
6904,애호박볶음,50,29.52,2.65,0.66,1.81,0.22,0.21,1.21,16.91,0.19,10.03,223.39,0
6905,열무나물무침,90,74.13,4.28,3.52,4.77,0.59,0.54,3.58,124.37,0.72,31.51,413.89,0
6906,열무된장나물무침,90,61.23,3.68,3.34,3.68,0.47,0.66,3.64,115.21,0.73,30.47,340.95,0
6907,오이나물무침,80,66.15,0.37,1.46,6.53,0.73,1.79,1.66,35.88,0.38,20.59,504.59,0
6908,유채나물무침,90,86.24,7.04,5.22,4.14,0.53,1.78,4.25,145.12,0.91,34.38,1151.4,0
6909,참나물무침,90,53.85,3.73,2.26,3.32,0.52,0.6,3.31,79.4,0.58,20.61,196.57,0
6910,취나물된장무침,90,39.38,3.71,2.77,1.49,0.17,0.76,4.13,88.78,0.69,22.56,211.4,0
6911,콩나물고춧가루무침,90,83.58,5.34,3.54,5.34,0.75,1.71,4.97,33.22,0.73,24,182.96,0
6912,콩나물무침,50,34.54,1.6,1.93,2.27,0.24,0.25,0.85,26.23,0.29,14.47,193.59,0
6913,토란대나물무침,90,61.11,3.8,4.63,3.04,0.41,0.35,3.03,273.38,2.23,31.34,199.95,21.97
6914,톳나물무침,90,67.82,11.05,1.68,1.88,0.27,6.25,5.73,81.91,0.83,40.81,540.29,0
6915,간짜장,500,625.08,75.67,25.59,24.45,4.02,4.28,7.51,59.04,2.69,58.41,2276.22,30.23
6916,고기만두,220,350.25,38.28,27.23,9.8,1.34,0.35,5.05,43.15,2.27,58.37,453.13,43.81
6917,군만두,220,514.51,56.26,15.46,25.29,7.21,6.1,7.66,89.97,1.8,58.12,846.06,20.88
6918,김치만두,220,334.15,37.44,22.53,10.47,0.23,0.77,4.57,39.63,1.82,42.6,865.26,51.19
6919,달걀라면,550,596.11,95.29,14.36,17.5,7.42,0.99,4.45,80.63,1.5,60.14,1007.15,156.77
6920,떡국,700,588.01,114.57,24.01,3.74,1.65,0.57,5.85,26.66,2.57,52.12,1234.05,116.91
6921,떡라면,550,525.49,84.01,11.21,16.07,5.5,0,4.29,182.68,0.27,19.02,1483.48,0
6922,떡만두국,600,666.99,92.83,21.18,23.44,3.44,0.07,10.9,88.37,3.36,50.82,1236.89,67.95
6923,라면,550,450.91,75.08,9.48,12.52,4.53,0,5.5,182.14,0.38,19.16,1559.21,0
6924,막국수,600,799.33,143.37,34.81,9.63,2.76,29.28,10.47,100.97,6.13,116.8,2427.15,33.2
6925,만두,220,397.27,39.79,19.05,17.99,5.89,0,8.31,298.15,0.71,49.45,800.92,26.32
6926,메밀국수,350,221.87,42.21,10.98,1.01,0.43,0,2.78,31.48,0.66,23.54,679.36,0
6927,물냉면,700,383.98,72.15,13.75,4.49,1.09,31.63,2.24,48.3,1.98,42,1128.25,107.45
6928,물만두,230,448.16,35.9,18.53,25.6,7.09,4.89,7.07,70.97,1.34,54.27,763.59,27.9
6929,미트볼 토마토 스파게티,500,898.82,88.08,36.7,44.41,7.2,4.45,13.67,88.89,4.49,93.01,1089.14,62.91
6930,바지락칼국수,700,576.77,111.81,24.04,3.71,0.74,1.23,1.98,91.74,4.26,58.06,1901.92,2.34
6931,볶음우동,300,385.41,74.36,8.41,6.04,1.46,1.28,6.03,21.54,0.57,28.81,770.91,0
6932,비빔국수,500,512.46,102.36,15.06,4.75,0.98,20.53,6.87,100.12,2.63,60.31,1193.79,5.03
6933,비빔냉면,500,499.16,66.74,28.33,13.21,2.69,20.1,7.36,113.6,2.43,83.79,887.31,236.69
6934,사골만두국,700,606.93,62.6,26.19,27.97,11.98,0.44,7.75,100.93,4.7,57.37,2333.21,183.74
6935,수제비,650,378.28,72.04,14.99,3.35,0.98,0,6.96,55.67,1.32,74.04,925.17,83.55
6936,우동(일식),800,1264.19,243.83,14.27,25.75,2.39,0.14,6.05,134.53,2.43,29.72,1252.92,0
6937,월남쌈,250,293.84,30.63,14.86,12.43,5.33,13.74,4.62,47.22,0.97,35.22,574.48,78.96
6938,잔치국수,700,310.2,56.34,13.53,3.41,1.14,0.3,5.48,56.87,10.09,24.32,1514.59,4.22
6939,쟁반국수,450,535.45,57.66,30.05,20.51,3.95,36.53,20.21,114.89,4.49,141.56,2309.21,85.38
6940,짜장면,600,529.18,86.22,16.15,13.3,2.3,36.43,8.17,71.65,0.43,51.26,1843.68,12.28
6941,짬뽕,800,464.46,66.06,22.3,12.34,1.98,12.52,12.75,99.02,0.44,86.33,1446.06,84.18
6942,쫄면,550,706.96,127.91,17.68,13.84,1.22,19.32,8.6,125.42,1.89,96.03,1377.01,0
6943,칼국수,700,540.65,104.28,23.09,3.46,1.4,0,10.9,48.41,2.55,57.16,1542,120
6944,콩국수,800,651.57,71.37,31.2,26.81,1.36,1.95,15.18,175.57,4.81,164.91,532.23,0
6945,회냉면,500,741.26,111.04,29.04,20.11,1.33,14.21,13.12,264.98,5.04,107.96,495.46,44.41
6946,검정콩밥,200,330.61,68.59,9.06,2.23,0.27,0,2.25,26.05,0.76,28.27,6.87,0
6947,계란볶음밥,260,584.71,62.99,17.22,29.32,5.72,0.44,4.56,47.71,1.15,30.54,827.6,162.85
6948,고추김밥,290,490.73,79.8,14.14,12.78,3.61,0.27,9.71,55.53,1.43,41.3,948.04,109.64
6949,기장밥,200,331.91,73.53,6.87,1.14,0.16,0,2.9,7.95,0.65,13.54,2.79,0
6950,김밥,230,322.56,45.95,11.14,10.47,2.54,0,3.13,81.95,0.69,28.36,705.16,44.4
6951,김치김밥,270,351.43,51.76,11.61,10.88,2.87,0.79,4.79,118.43,0.84,41.29,942.82,127.93
6952,김치볶음밥,330,550.64,51.93,17.56,30.3,4.73,45.85,9.35,98.06,2.3,51.2,1549.8,232.34
6953,낙지덮밥,350,525.24,84.42,20.58,11.69,1.3,7.55,8.06,52.94,1.25,47.79,743.31,113.59
6954,날치알김밥,260,461.27,74.52,15.86,11.08,3.13,3.71,5.43,51.82,1.61,38.88,777.2,143.38
6955,닭고기덮밥,410,510.58,60.77,46.75,8.94,3.23,4.39,4.49,86.59,2.18,63.56,626.21,378.39
6956,돈까스김밥,320,646.18,101.24,18.45,18.6,3.43,4.24,6.58,48.84,1.58,46.54,769.81,20.87
6957,돌솥비빔밥,380,558.1,93.77,20.5,11.22,1.27,4.73,9.26,94.76,2.24,75.13,1281.83,37.92
6958,돼지머리국밥,900,1233.32,143.42,60.34,46.47,13.19,1.46,6.06,77.69,2.18,45.51,1624.51,214.38
6959,모듬회덮밥,410,593.54,72.8,37.32,17.01,3.49,12.57,5.02,53.34,0.94,72.14,634.31,112.26
6960,무밥,200,266.19,56.34,7.33,1.28,2.63,0,2.94,44.98,0.38,24.35,554.22,0
6961,보리밥,200,321.63,73.54,5.8,0.48,0.2,5.14,4.87,13.8,0.39,14.35,7.85,0
6962,볶음밥,350,640.48,118.88,19.47,9.67,3.84,0,5.79,47.21,1.83,23.51,743.58,102.47
6963,불고기덮밥,400,728.18,107.84,26.39,21.25,5.58,0.28,11.03,24.61,3.27,38.82,1011.43,63.33
6964,비빔밥,450,637.54,84.76,30.89,19.44,4.29,0.22,8.98,138.63,4.66,81.03,1041.85,190.18
6965,새우볶음밥,370,635.75,84.54,23.33,22.7,4.4,2.63,5.97,45.1,1.28,28.27,538.64,261.68
6966,생선모듬초밥,380,607.45,101.52,36.71,6.06,1.54,5.32,7.46,54.21,0.26,58.64,540.96,73.83
6967,쇠머리국밥,1000,239.21,27.04,15.83,7.53,8.88,0,6.2,71.93,44.8,29.46,1392.24,88.15
6968,쇠고기김밥,250,447.51,64.44,16.16,13.9,4,0.07,3.63,75.82,2.18,28.99,666.69,97.6
6969,쇠고기볶음밥,260,456.99,56.58,19.74,16.86,3.81,0.22,5.39,45.58,1.6,34.15,560.18,130.06
6970,쇠고기주먹밥,200,355.16,69.45,9.52,4.36,1.29,0.45,3,17.15,0.58,18.81,713.2,13.03
6971,수수밥,200,321.89,70.04,6.31,1.83,0.26,0.15,2.28,7.69,0.34,12,2.55,0
6972,순대국밥,900,673.09,93.46,28.56,20.56,11.33,1.51,11.33,76.92,5.99,52.2,1137.58,438.19
6973,알밥,330,422.13,51.99,15.61,16.86,1.96,7.6,11.55,141.93,1.45,47.55,1418.08,151.75
6974,영양돌솥밥,350,643.16,126.22,12.02,10.03,2.12,2.22,7.46,30.35,1.68,24.1,21.94,0
6975,오므라이스,400,692.71,82.14,25.98,28.91,5.5,12.76,9.63,77.12,3.36,48.95,1730.11,347.95
6976,오징어덮밥,360,484.59,79,25.85,7.24,0.87,2.37,9.47,29.55,0.8,62.3,582.23,167.2
6977,완두콩밥,200,276.32,62.49,5.89,0.31,0.2,0,3.81,87.63,0.67,10.27,590.06,0
6978,유부초밥,200,388.54,59.63,11.56,11.53,1.38,3.97,5.22,91.78,1.17,42.89,771.26,6.24
6979,육회비빔밥,300,442.29,68.76,19.16,10.07,2.31,13.36,7.75,83.93,2.68,70.72,1337.23,91.69
6980,잡곡밥,200,292.6,58.65,10.59,1.74,0.44,0.64,12.19,34.6,2.65,70.62,5.29,0
6981,잡채밥,550,825.15,141.85,22.11,18.81,2.27,0.3,16.73,88.01,4.27,74.1,1247.22,32.53
6982,제육덮밥,470,949.76,79.22,44.3,50.63,16.07,9.3,6.66,51.76,2.28,70.55,819.84,131.32
6983,짜장밥,470,572.62,73.17,20.08,22.18,2.72,0.16,9.77,53.58,1.92,48.33,1109.91,27.01
6984,짬뽕밥,900,647.7,104.86,28.81,12.56,2.06,12.04,12.73,118.81,6,134.55,2105.68,142.02
6985,차조밥,200,313.24,69.71,5.67,1.3,0.28,0.07,3.64,7.68,0.64,16.32,2.81,0
6986,찰밥,280,429.7,93.97,12.3,0.51,0.23,1.37,8.11,30.13,0.61,58.71,9.35,0
6987,참치김밥,250,435.04,50.65,17.5,18.05,3.49,1.77,4.51,128.42,1.81,31.9,837.43,83.62
6988,참치마요삼각김밥,200,398.7,50.89,11.86,16.41,2,0,5.64,19.33,0.76,24.19,460.22,20.94
6989,참치볶음밥,230,412.97,75.68,10.63,7.52,1.12,0.27,3.7,35.45,0.26,19.83,1450.92,6.35
6990,채소김밥,280,442.09,74.61,12.89,10.23,2.76,0.4,9.62,105.34,1.24,43.5,865.01,83.8
6991,채소볶음밥,260,474.03,74.73,12.26,14.01,2.18,0.76,6.07,44.24,1.1,33.64,1060.34,120.23
6992,치즈김밥,270,476.98,59.67,16.86,18.99,6.55,0.57,7.07,17.1,0.58,14.46,455.54,94.69
6993,카레라이스,480,518.4,99.53,14.94,6.73,2.09,0.78,2.62,55.93,1.44,36,1007.05,13.39
6994,콩나물국밥,780,403.26,85.22,11.34,1.89,0.91,0,9.21,50.3,1.44,42.52,1339.02,0
6995,콩나물밥,320,392.17,71.66,14.98,5.07,1.33,0.12,6.18,49.8,1.67,66.9,868.99,10.06
6996,팥밥,200,286,64.51,6.56,0.19,0.21,0,5.18,14.25,0.67,29.27,7.12,0
6997,표고버섯볶음밥,300,551.73,95.37,10.09,14.43,1.5,0,7.73,14.12,0.89,26.78,896.57,0
6998,하이라이스,360,401.93,76.84,14.47,4.08,0.45,0,3.14,36.69,0.24,25.56,884.09,10.2
6999,현미밥,230,396.31,89.48,7.14,1.09,0.41,0,4.63,11.41,0.49,48.24,4.8,0
7000,흑미밥,200,348.7,80.14,6.53,0.22,0.25,0.04,3.01,20.47,0.23,19.6,3.51,0
7001,감자볶음,100,100.18,12.41,1.75,4.84,0.63,3.37,1.69,11.02,0.31,15.66,318.41,0
7002,감자채소볶음,130,139.78,17.03,2.65,6.79,0.9,0.15,2.65,21.39,0.49,29.26,270.72,0
7003,건새우볶음,20,60.83,1.08,8.31,2.59,0.35,0.81,1.45,627.06,0.91,45.28,310.78,77.59
7004,고추볶음,100,69.78,8.25,1.93,3.23,0.58,4.34,3.67,17.93,0.6,19,275.73,0
7005,김치볶음,100,106.07,7.27,1.38,7.94,0.87,4.45,3.23,52.94,0.41,21.13,521.44,4.66
7006,꽈리고추멸치볶음,50,126.57,3.98,11.81,7.04,0.08,3.12,2.98,275.45,4.43,71.98,666.95,73.65
7007,낙지볶음,200,182.69,17.2,11.53,7.53,0.87,15.81,5.54,57.26,0.83,61.09,1074.86,89.52
7008,느타리버섯볶음,50,47.09,3.39,1.4,3.1,0.4,2.12,2.23,2.47,0.24,8.37,261.84,0
7009,닭가슴살피망볶음,80,97.58,1.1,13.11,4.52,0.52,0.23,2.09,22.63,0.46,22.38,392.22,40.29
7010,닭발볶음,200,372.98,23.44,27.6,18.76,4.4,12.74,5.1,162.62,1.05,45.39,1948.37,825.57
7011,닭볶음,300,558.83,23.8,41.93,32.88,5.76,2.32,3.79,75.43,1.85,76.9,1013.89,147.95
7012,당근볶음,90,85.13,7.01,0.84,5.97,0.99,4.05,2.71,23.14,0.2,7.18,194.28,0
7013,돼지고기김치볶음,230,371.22,13.63,27.16,23.12,6.88,6.68,4.93,62.03,2.29,54.53,1173.54,80.78
7014,돼지고기채소볶음,230,388.96,19.84,38.12,17.46,5.93,15.33,3.91,34.55,2.08,54.87,796.2,107.43
7015,돼지곱창순대볶음,230,299.11,42.59,16.64,6.91,2.41,7.52,7.92,82.38,4.05,48.95,495.64,174.98
7016,떡볶이,180,260.02,46.72,6.31,5.32,0.51,7.92,1.88,25.8,0.32,22.89,703.12,4.21
7017,라볶이,200,268.47,40.28,5.66,9.41,2.93,1.88,3.87,102.55,0.46,18.89,622.28,5.03
7018,마늘쫑볶음,140,123.91,18.44,4.55,3.55,0.52,7.4,6.78,60.02,1.18,39.48,786.79,0
7019,마늘쫑잔멸치볶음,50,58.42,7.71,3.77,1.39,0.21,2.85,2.69,67.02,0.32,27.03,252.37,1.26
7020,마파두부,160,174.33,8.58,11.67,10.37,1.66,3.92,3.5,46.1,1.65,61.67,563.45,10.86
7021,멸치견과류볶음,50,206.95,9.18,15.2,12.16,1.52,7.01,4.92,420.48,5.21,154.56,913.86,78.6
7022,멸치마늘쫑볶음,50,138.41,6.21,16.2,5.42,0.95,2.13,4.35,607.31,5.42,143.7,1250.51,152.52
